,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,CAP FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,ERF FP Equity,GLE FP Equity,SGO FP Equity,VIV FP Equity,WLN FP Equity,OR FP Equity,ORA FP Equity
2015-01-02,10.76,75.2647,19.205,45.51,41.35,24.9061,54.45,49.26,59.64,92.26,294.8,6.2,60.61,44.995,148.26,25.3,59.48,10.108,92.68,29.98,19.43,60.53,51.25,75.2499,56.43,42.52,212.85,14.2263,43.545,132.25,18.8175,21.1416,21.205,34.99,35.23,6.0152,16.0,139.3,14.15
2015-01-05,10.725329216852863,75.08835525863796,19.168870183079406,45.356986349838046,41.44376825281519,24.922461142860808,54.48932020642952,48.97725077784027,59.576082967453225,92.28242905040968,294.4586452588982,6.1894334361157135,60.43359808374595,45.054669560526136,148.60676813107062,25.159746456121788,59.54428104532273,10.104200875580132,92.22268724517137,29.744218137788078,19.316005880720766,60.06622311205159,51.31825462623284,75.33333312155773,56.3221412917524,42.331605946531994,212.16592349348667,14.233462937610346,43.65001811763432,131.65290999567236,18.859908872069248,21.085351989116056,21.212317457926932,34.90543129984955,34.86705899624919,5.990285472426214,16.019986360612105,139.50014726606645,14.076050189482796
2015-01-06,10.750834724148964,75.25048693432291,19.103612516495602,45.09480462325405,41.03740099837567,25.038816883239214,54.80927661909266,48.611035081977846,59.63563908789253,92.2205265971097,294.1892758109145,6.17081389173423,60.243185183189695,44.915927854795434,147.91736997925867,25.197087822195996,59.49428153474872,10.10026189930215,92.77062619465808,29.778273617618797,19.159115874293114,60.427104158518766,50.91861276901228,75.82979048380726,56.78320054155615,42.53901369931843,211.66197080235568,14.176699176175665,43.77485061038589,131.12517936681482,18.773295791250213,21.176694015946925,21.0747322251429,34.84049509003245,34.87033758537844,6.012138223812864,15.975507793540359,140.1767636403409,14.156860476257005
2015-01-07,10.700983994890409,75.16898399796155,18.9401298254664,44.924919991786744,41.22797929195225,25.159898139003673,54.77738915917827,48.11606540071564,59.61026861238441,92.01362611100183,293.3905846843103,6.196918350854114,60.12665152409215,45.07628774935057,146.70411460719814,25.22511013932395,59.85839111541599,10.128178818374295,93.03361877596005,29.66008080587174,19.109312773310183,59.584731420445486,50.51247151015526,75.78450258289189,57.2692629907701,42.41598301823787,209.90503057296428,14.096213244564673,43.75977113336847,130.6708259150166,18.602338222913858,21.20677308714291,21.053684501301962,34.57131701429355,34.759988262591655,5.994972561130018,15.944682814666399,139.58541918145085,14.12216001283258
2015-01-08,10.721853823295888,75.35673069243137,19.081431045608696,44.9583477553404,41.34964734570993,25.369746499190327,54.78511837738787,48.40651981036168,60.1828933753373,92.23335448226084,295.25393684348694,6.242908464491277,60.35017847388857,45.110663783049155,147.67499445963426,25.30424660949315,60.20447545622936,10.166542435151824,93.00577728374002,29.594589389752503,19.16189648009545,59.2586326032954,50.68357887936611,75.73481059478529,57.36134077973058,42.57384221084979,211.48534172644153,14.10403898733887,43.8667640411882,131.3379357647486,18.64278577007577,21.156229073918823,21.137935052523577,34.746262735679124,34.81849783566275,5.98071554205349,15.946574772543425,139.86520698534193,14.155028365829072
2015-01-09,10.820620020570692,75.5377188865891,19.18177604844921,44.96821532326683,41.402434552450515,25.363967693085357,54.80166827550282,48.63423389766885,60.197226337865935,92.42426899539143,297.923777607803,6.301604179314004,60.74182089968206,45.265927293918836,149.3468779736263,25.313718031892968,60.55572023348597,10.250080227695646,92.93850255813972,29.563792736648654,19.131985592063725,59.767284006436945,50.949294230970764,75.86428671928144,57.83387937588591,42.76630399279868,210.36304547791704,14.11267315758372,44.0827124353557,132.41232916016767,18.7950555675488,21.477002147003446,21.3623688513519,35.009891189897104,34.93973026285497,6.026798505157316,15.989924258013604,140.4699956482924,14.142558379861649
2015-01-12,10.796279701342034,75.75604072329311,19.109136469994173,45.100399114723835,41.88149516196177,25.348341760213078,55.18077899044173,49.0239358670044,59.961469580529965,92.79487160624673,298.33089239481683,6.29696343065048,61.13968324564755,45.332690209999654,150.27206318596095,25.398980766737242,60.51137500299543,10.27194102495333,93.75111002642076,29.693212452165096,19.219761627923113,60.3886355414619,51.59544535471581,76.61874626629113,57.76169345099174,42.98298900268913,211.46574039600435,14.142200250667827,43.95404628104693,132.9871058251704,18.875834871689765,21.420380899307588,21.240964097346193,35.34952016173959,35.09399088167513,6.053779931707983,15.99973727041826,141.4351511409742,14.11802202120249
2015-01-13,10.779503819214051,75.87065555455779,19.14681693020119,44.881189880613285,42.12403319681074,25.360657254507917,55.27345367977274,48.99221129676277,60.437778966903196,93.1385620326703,297.7464808025116,6.33953114718444,61.271844369318764,45.33447799919842,149.9887215690507,25.27510401310727,60.729724541487485,10.310058971496069,93.89737387832416,29.701778924216264,19.20074499412911,60.765066908623744,51.767372707161705,76.47826300821328,58.35852720670634,42.94998135616633,213.1214098238557,14.160930274554138,44.13490425869184,132.84982548060566,19.04537929029466,21.55273126475484,21.106662960555227,35.364531579804854,35.097465071899165,6.093809630749901,15.893643497584044,141.8106819119371,14.058415763554835
2015-01-14,10.757360067567616,76.10912531400672,19.195960714876684,44.92398027545448,42.04678884585606,25.428374204305772,55.45586397579938,48.76742996968569,60.15657210366379,92.82455162741066,299.0243068521223,6.418513897536256,61.60190714366866,45.739251890798926,150.9511831259734,25.178983978559646,60.89079822170088,10.319431697792083,93.54473170220055,29.72514613900906,19.10333526460001,60.783280410067555,51.56194392899816,76.85719799406907,58.55919877628186,43.07204688886641,212.1619977513967,14.08148995754531,44.35447004677246,133.25634728394635,19.09070070084309,21.495889664829427,21.06293762221534,35.17155235475578,35.32280017308066,6.097674334055523,15.973597596973434,142.1254318378964,14.051626475100274
2015-01-15,10.915217796459919,76.27208778926882,19.37910521693516,45.370785744453926,42.472029375046056,25.38716202538136,55.57798428461136,49.316124716412844,59.96732506320298,92.7864880824717,298.96005926803815,6.385961094756416,61.92637635255014,45.668069692214594,151.7337563187185,25.201672027527383,60.87022313643691,10.265445394545779,93.92682512244633,29.932457825687045,19.34547475096717,61.79005994231473,52.044073996275976,77.1287244342638,58.47931524178993,43.216851951101006,212.6573643053393,14.16131695974468,44.27671038048774,132.84329566924586,19.211562276146438,21.671807454181195,21.083454535358786,35.78449105707746,35.52982710434806,6.119781788878852,15.837963401262387,141.90194287653844,14.161010276245255
2015-01-16,10.82550854943366,76.21953078223527,19.2306437764219,45.45753093181034,42.44194771773092,25.294391901755354,55.6220449036888,48.924308356959486,60.22200570929792,92.81534281713671,300.47195789668484,6.320875763461324,61.98782997069564,45.47133419908624,151.97621180369947,25.005916269618744,61.35789614229688,10.364953765302811,94.26988715481954,29.85241941515595,19.396765802212915,61.31178689309438,51.95696251742518,77.23694241762136,59.15920345364687,43.239668451745224,213.21175343488625,14.2245629337112,44.456153404570074,132.45131754546586,19.271035702750765,21.4960404672455,21.04902577195318,35.610153126051216,35.40194999789186,6.1235826751909705,15.868343548995677,142.24619841689892,14.139291293235132
2015-01-19,10.78050179840832,76.17830407859506,19.273070450001878,45.30453723029518,41.972604147371214,25.329651670546333,55.24971175670175,48.444158622635356,59.93687389455889,92.89113861756833,300.00348382052647,6.300705539362223,61.83068599113794,45.2246339024498,151.86238411715775,24.811992509708755,60.88069345340918,10.413692745022498,94.35224146714462,29.54194806930425,19.231375241547727,60.688099427020354,51.451177068779224,76.72044293607007,59.68716430562409,43.18195086048369,213.37295294613838,14.239911355830156,44.446613758349564,132.54327179330193,19.16575209343468,21.455486163198195,20.971375945508843,35.23013661353969,35.26113339989418,6.1204420748805894,15.832090682506774,142.0990165665075,13.999024534034216
2015-01-20,10.79199471403782,76.18834256296705,19.215949132017094,45.217319423555274,41.97571363045054,25.17158672360441,55.12020443270269,48.494065852330365,59.78353749351269,92.42415028349087,300.1957583869196,6.379559808727494,62.005398694743384,45.224062450861,152.2834327785732,24.836304641010514,60.89678106504505,10.432966412295402,94.35716230216859,29.35352547148442,19.209485018374053,60.59452298668884,51.53930877713326,76.8993559375167,59.76717942495596,43.26867113630512,212.68294389531226,14.261530268007329,44.508165453047226,132.4002427891709,19.070689025805567,21.602862463497754,20.87058822445427,35.32945424899993,35.32973552951713,6.103281234190829,15.833199018946582,142.00171799380246,13.97506772894361
2015-01-21,10.650327976383034,75.78291935544439,18.993097803671628,44.8825703792829,41.38329055371271,24.99268384918751,55.20548130095882,48.080082504656566,59.32944036967921,92.76485500312718,298.23822340801337,6.327631567865602,61.77385576605937,44.83414887707832,151.45160318448998,24.697938164112227,60.431409764993056,10.35216707986681,94.3568791194186,29.099679206997383,19.083412659676963,60.21295443666743,50.978632277118024,76.85367220662432,59.61619908282866,43.187426532495905,209.6396931878501,14.191771782826617,44.37496082869372,131.26282395011143,18.998839370226563,21.294576969787308,20.70643274133761,34.967929566333645,35.10281524495338,6.069596157320913,15.68519391099119,141.89966670849049,13.86828256382483
2015-01-22,10.636572288608507,76.16512073208388,19.030576276515472,45.26970467640509,41.78859508597451,25.078240542323705,55.37569740026653,48.205570449650686,59.3275966377863,92.94488322459658,299.1030154802799,6.369134734267357,61.923268786028885,45.07569138616617,151.19016632956485,24.553928275802384,60.90445871669801,10.436879408976168,94.44516940561768,29.35380081543179,19.193169471014613,60.481272214197055,51.581757176554106,76.47802412095679,59.82185113479818,43.39093353534183,210.09432775989595,14.260654120990134,44.63704322088473,131.10056124458856,19.073685943819363,21.647264043898797,20.83387152286906,35.08978467338086,35.24617644657113,6.076145363152582,15.826585908710367,141.67199065790055,13.892220777384418
2015-01-23,10.688615645473844,76.00768291139458,19.035018110080085,45.52070413804887,41.95261720249769,25.05610096620783,55.06794591911151,48.50754120970155,59.88166893364483,92.58630324126545,297.2618352279958,6.340878945150313,61.63297605832808,45.31838135540087,151.57487890235493,24.52378815558803,60.830522779315594,10.396642718811748,94.9131656799533,29.424472033316377,19.224817598450006,60.65485070447112,51.44843698945949,76.19005114971547,59.67318654940456,43.396292042454704,210.40186594448375,14.263026468150404,44.77455651507749,130.68528687313463,19.0436510689784,21.73336955030259,20.72365111756575,35.22600840096984,35.50703212634439,6.027307647386747,15.697346049976804,141.2882605911256,13.92071515493064
