,URW NA Equity,VIE FP Equity,VIV FP Equity,ORA FP Equity,EN FP Equity,SOLB BB Equity,AC FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,LG FP Equity,ENGI FP Equity,FR FP Equity,STM FP Equity,SU FP Equity,SW FP Equity,ACA FP Equity,AI FP Equity,AIR FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,SGO FP Equity,LI FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,GLE FP Equity,GTO NA Equity,KER FP Equity,ALO FP Equity,ALU FP Equity,ATO FP Equity,BN FP Equity,TEC FP Equity,TTE FP Equity,UG FP Equity,UL NA Equity,MT NA Equity,OR FP Equity,BNP FP Equity,CA FP Equity,CAP FP Equity,CS FP Equity,DG FP Equity,DSY FP Equity,EDF FP Equity,EL FP Equity
2015-01-02,212.85,14.2263,6.0152,14.15,29.98,105.6382,37.34,59.64,92.26,294.8,58.08,19.43,34.5333,6.2,60.61,81.27,10.76,75.2647,41.35,60.53,51.25,75.2499,35.23,35.73,43.545,132.25,18.8175,34.99,67.93,148.26,24.9061,2.97,50.1346,54.45,49.415,42.52,10.22,212.85,21.1416,139.3,49.26,25.3,59.48,19.205,45.51,10.108,20.2354,92.68
2015-01-05,215.58088342077346,14.271878821788032,5.988831557063081,14.211777841189013,29.96312000439979,106.3329260832935,37.75586658865168,59.99758156847684,92.30946055457456,293.9453781326137,58.227565479010565,19.59521010609603,35.070451513935666,6.156584623371927,60.934737788408256,81.56886868190286,10.833506275337088,75.09701978982649,40.87367760277276,61.707694179495206,51.333310604510416,75.68741554330258,35.04326454143436,35.86365957923449,43.25478980606441,132.4402701257536,18.849667460946026,35.278438230814054,68.50717993859816,147.34338994519308,24.914996519562138,3.0139114890294887,50.16026935512279,54.84895033400599,49.467750706581256,43.068483685066404,10.37549526816468,214.90406347745073,21.37955922639149,140.02481658349404,49.427629452238676,25.60170300705853,59.533487970559435,19.37592029307398,45.711871316434696,10.055864747932825,19.89550668160604,93.30410067681294
2015-01-06,215.38453840076522,14.294302798866221,5.978906836729925,14.077629981251981,29.65695034291793,106.07381239346161,37.499852166202054,59.91953308710382,93.1871342083169,294.48915045514843,58.26571238668898,19.69203497301316,34.94503707065179,6.132666611076529,61.451822780853504,81.27481406881758,10.832245359147645,75.25754832902346,40.74391534764907,61.05343516776659,51.22177312938048,76.36155699687335,35.14409175121105,35.91221903071443,43.52002871441933,133.35953019430906,18.75398767740343,35.51533367877786,67.82452474130923,146.7284067491843,25.1785910774991,3.01124886497489,50.6363046320202,55.1331539853825,49.76593156761056,43.32218795815269,10.464209867272904,214.8127464200431,21.684951120250542,141.28341030254927,49.904126527967904,25.52944895754369,59.734227765907754,19.48587822502438,46.11540365343996,10.04973557689571,20.357910502990347,93.49238261136132
2015-01-07,213.63398936223243,14.189011344714071,5.97958728952393,13.983436208407214,29.443004933086176,105.23531944718204,37.17128340014734,60.20847385544339,93.34642170189238,292.49396564549886,58.46163145474364,19.528162911805687,34.62389027232955,6.1749409434035485,60.97340825264993,81.01071964108911,10.794369424417559,74.14123522955114,40.63031845245856,59.978345305816575,51.26394184040005,76.38744412294693,34.987588395427565,35.78364268023459,43.35351942444456,133.51723927542815,18.54275337657209,34.981735826016454,66.71706820608476,145.6533722302782,25.097384001651864,3.021611471946466,50.64583845965144,54.81941125850775,49.91903492633612,43.302513422989776,10.347055399546175,214.95476268740464,21.4342442883906,140.8315211996037,49.19011821144953,25.350106788797717,59.48064889092061,19.250644466139118,45.90241870724227,10.078212862812373,20.420954109893497,92.730072580172
2015-01-08,212.61033898901536,14.116274182902778,5.933335987138379,14.025682357260246,29.26377393487394,105.17530386171795,37.097479269247415,59.27081524023264,94.0743356315898,292.06093199248625,58.55306623174272,19.805995201977076,34.06708950844905,6.16662039388388,60.79722197727265,81.05186612036142,10.84319898723143,74.04630535875931,40.34380561513377,59.08614327252509,51.691560898595725,76.11448622040805,35.06835042654982,35.66338818407291,43.21425554343926,132.54726244649916,18.50315176304059,35.151008372782975,67.50147412486999,146.18139557252363,24.945008125657985,3.046650576367088,51.25198823965305,55.11453810956534,49.6018670486182,43.46329295444218,10.165885850605967,213.95859739559666,21.1253719333844,140.36247349665388,49.24055474758097,25.315637055280305,59.75660212000821,19.247003474805833,46.27549783707006,10.237678217515395,20.5419658871489,91.99973374357067
2015-01-09,215.22372040824453,14.17850418690006,5.947669930146417,14.170651223555017,29.446084042584943,105.8269855220881,37.55277471920658,59.05179290858883,93.92696535314263,293.29467957132914,58.403429959762384,19.824829241285613,33.92093252279335,6.163164511926683,60.98753990901143,80.96333767315946,10.88355586032257,74.3821153466805,40.16423703600656,59.41377950794986,51.75406694348424,76.72763802362554,35.31905432952202,35.97975891717499,43.312643518541314,131.92094913270535,18.405615924877946,35.411714203497795,67.94638961726567,146.40477036401307,25.007675174786534,3.0832082650560726,52.041916720312315,55.10561896784888,49.87395909487074,43.381468705354365,10.131586395663644,217.32828234969222,20.790445332399745,140.04640113924663,49.34170210697027,25.181567418873318,60.84398395445773,19.271807276256553,46.532004230199824,10.131790041861212,20.68391513310162,91.95116949440397
2015-01-12,214.8037236435665,14.090900667991558,5.95893035248704,14.128669345080585,29.364392916390123,106.52747788410512,37.65136872292606,59.73072152428847,94.48911844424663,294.3568383716358,58.421507935017914,19.990818168120775,34.135929513159944,6.108080558047047,60.32267366106064,81.65270048468996,10.8318555988043,74.82400834166098,39.97432041195101,59.476405639043605,51.59344726089044,76.58215465294421,35.418553399108696,36.115077202765406,43.20053080160724,131.23506878382926,18.279023222415482,35.02621195691125,67.19996161967269,147.20750939957355,24.82029078129963,3.0906900948269165,52.62173491711911,55.527533414610744,50.26345205091095,43.22376440316783,10.03038582071075,217.2077609151012,20.68309459309691,139.39831131881658,48.95972008184082,25.31030931517583,60.97095319417036,19.096242857144627,46.851728899862906,10.117643272589005,20.738226531604447,92.38229993887613
2015-01-13,216.68711929409466,14.270569674316494,5.9017823837479515,14.171064714139286,29.328439739179846,104.77126780548747,37.52727076907991,59.06229781360016,94.35162198273248,296.06389558403964,58.170333500392424,19.98144124318866,34.12019578879718,6.103428931255762,60.00859586728696,82.1084775901953,10.630369882963539,74.99360023698458,39.625359886724176,59.2522502757444,51.89941333687017,76.51660972525411,35.47592256384102,36.33931454639543,43.37537176831953,130.44712843184593,18.325925214540558,34.445533731124186,67.04222347700427,146.30093440259353,24.908465148529384,3.12465421098792,52.34332239859708,55.730198764351655,50.780593139157645,43.414525459179195,10.020361630949626,218.1963354555352,20.37215487678688,139.52115380788277,48.31992457402673,25.5060072731412,61.24230686080602,18.898281353585293,46.87697308435251,10.085821482005434,20.657505733164783,91.92897183941305
2015-01-14,216.34717743728442,14.224868357709697,5.8728662660284146,14.219007632200537,28.958270960793016,104.36484261024583,37.54657239856095,58.905300937996294,93.97650555924928,294.8228679370324,58.2990126130312,19.956647247305376,33.4212557943001,6.115389723738377,60.00143534983633,82.8859034840016,10.586040329543446,74.82200109930642,39.377047530227316,58.2713708427956,51.507971577323524,76.28725932903237,35.248636368366036,36.3414407357886,43.26159387732422,130.99071301884015,18.053458256140324,34.16025396055678,66.05390644638543,144.6979196802474,24.998427894788005,3.156944113548402,52.074818362602784,55.240829646819876,50.77328448710469,42.899978778574244,9.927864403653391,218.4811386897743,20.628310780654736,137.60019033210838,48.01300433539877,25.51753640356515,61.73740420863945,18.896729469041986,46.76466500821519,10.035609669837202,20.810043701232008,91.80690533081805
2015-01-15,217.7242571445525,14.29981661578614,5.858900764655202,14.400411456225292,29.381566666308434,104.40024821889331,37.88327347223602,58.27461677662366,95.13287974685679,296.4566924135705,58.40177321514302,20.072167364490216,33.582251354462166,6.1130740152438445,60.26832455562813,82.80118165613891,10.640609770437623,75.22311057816546,39.56196617772486,57.40226503673089,51.530756689301526,76.68407778898906,35.34648602086053,36.405846023783475,43.09551788710072,132.42223874379152,18.095195258674643,34.0703590483201,66.329881990408,145.57080782078395,25.042738308234785,3.101930703774255,52.20146242434881,55.582742553396095,50.429406655330986,42.842991961592574,9.954466925494048,218.57941367617488,20.48055511508047,139.42441781824928,47.846107212001414,25.658631811871263,62.0101428896292,19.03266296749835,47.5221554532369,10.120109501902952,20.547781558113982,92.14385429188799
